You are using the XLSTAT trial version. Number of days remaining until the trial expires: 14;;;;;;;;;;;
;;;;;;;;;;;
sss;;;;;;;;;;;
Observations/variables table: Workbook = GRAB.csv / Sheet = GRAB / Range = GRAB!$A$2:$A$526 / 524 rows and 1 column;;;;;;;;;;;
Cluster rows;;;;;;;;;;;
Dissimilarity: Euclidean distance;;;;;;;;;;;
Agglomeration method: Ward's method;;;;;;;;;;;
Center: No / Reduce: No;;;;;;;;;;;
Truncation: Hartigan index (adapted);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Summary statistics:;;;;;;;;;;;
;;;;;;;;;;;
Variable;Observations;Obs. with missing data;Obs. without missing data;Minimum;Maximum;Mean;Std. deviation;;;;
01/12/2021;524;0;524;44532,000;45294,000;44912,824;220,179;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Node statistics:;;;;;;;;;;;
;;;;;;;;;;;
Node;Level;Weight;Objects;Left son;Right son;;;;;;
834;4,000;4;4;562;563;;;;;;
833;4,000;4;4;548;549;;;;;;
832;4,000;4;4;538;539;;;;;;
831;4,000;4;4;530;531;;;;;;
830;1,500;3;3;518;736;;;;;;
829;1,500;3;3;513;734;;;;;;
828;1,500;3;3;508;732;;;;;;
827;1,500;3;3;503;730;;;;;;
826;1,500;3;3;497;728;;;;;;
825;1,500;3;3;494;727;;;;;;
824;1,500;3;3;489;725;;;;;;
823;1,500;3;3;484;723;;;;;;
822;1,500;3;3;479;721;;;;;;
821;1,500;3;3;474;719;;;;;;
820;1,500;3;3;469;717;;;;;;
819;1,500;3;3;464;715;;;;;;
818;1,500;3;3;459;713;;;;;;
817;1,500;3;3;454;711;;;;;;
816;1,500;3;3;449;709;;;;;;
815;1,500;3;3;440;705;;;;;;
814;1,500;3;3;435;703;;;;;;
813;1,500;3;3;430;701;;;;;;
812;1,500;3;3;425;699;;;;;;
811;1,500;3;3;420;697;;;;;;
810;1,500;3;3;415;695;;;;;;
809;1,500;3;3;410;693;;;;;;
808;1,500;3;3;405;691;;;;;;
807;1,500;3;3;400;689;;;;;;
806;1,500;3;3;396;688;;;;;;
805;1,500;3;3;387;684;;;;;;
804;1,500;3;3;382;682;;;;;;
803;1,500;3;3;373;678;;;;;;
802;1,500;3;3;368;676;;;;;;
801;1,500;3;3;363;674;;;;;;
800;1,500;3;3;358;672;;;;;;
799;1,500;3;3;353;670;;;;;;
798;1,500;3;3;348;668;;;;;;
797;1,500;3;3;343;666;;;;;;
796;1,500;3;3;334;662;;;;;;
795;1,500;3;3;329;660;;;;;;
794;1,500;3;3;324;658;;;;;;
793;1,500;3;3;319;656;;;;;;
792;1,500;3;3;314;654;;;;;;
791;1,500;3;3;305;650;;;;;;
790;1,500;3;3;300;648;;;;;;
789;1,500;3;3;295;646;;;;;;
788;1,500;3;3;290;644;;;;;;
787;1,500;3;3;281;640;;;;;;
786;1,500;3;3;268;634;;;;;;
785;1,500;3;3;263;632;;;;;;
784;1,500;3;3;258;630;;;;;;
783;1,500;3;3;253;628;;;;;;
782;1,500;3;3;247;626;;;;;;
781;1,500;3;3;244;625;;;;;;
780;1,500;3;3;239;623;;;;;;
779;1,500;3;3;234;621;;;;;;
778;1,500;3;3;229;619;;;;;;
777;1,500;3;3;224;617;;;;;;
776;1,500;3;3;219;615;;;;;;
775;1,500;3;3;214;613;;;;;;
774;1,500;3;3;209;611;;;;;;
773;1,500;3;3;204;609;;;;;;
772;1,500;3;3;199;607;;;;;;
771;1,500;3;3;190;603;;;;;;
770;1,500;3;3;185;601;;;;;;
769;1,500;3;3;180;599;;;;;;
768;1,500;3;3;175;597;;;;;;
767;1,500;3;3;170;595;;;;;;
766;1,500;3;3;165;593;;;;;;
765;1,500;3;3;160;591;;;;;;
764;1,500;3;3;155;589;;;;;;
763;1,500;3;3;146;585;;;;;;
762;1,500;3;3;137;581;;;;;;
761;1,500;3;3;132;579;;;;;;
760;1,500;3;3;123;575;;;;;;
759;1,500;3;3;118;573;;;;;;
758;1,500;3;3;113;571;;;;;;
757;1,500;3;3;108;569;;;;;;
756;1,500;3;3;103;567;;;;;;
755;1,500;3;3;98;565;;;;;;
754;1,500;3;3;89;561;;;;;;
753;1,500;3;3;84;559;;;;;;
752;1,500;3;3;79;557;;;;;;
751;1,500;3;3;74;555;;;;;;
750;1,500;3;3;69;553;;;;;;
749;1,500;3;3;64;551;;;;;;
748;1,500;3;3;55;547;;;;;;
747;1,500;3;3;50;545;;;;;;
746;1,500;3;3;45;543;;;;;;
745;1,500;3;3;40;541;;;;;;
744;1,500;3;3;31;537;;;;;;
743;1,500;3;3;26;535;;;;;;
742;1,500;3;3;21;533;;;;;;
741;1,500;3;3;12;529;;;;;;
740;1,500;3;3;7;527;;;;;;
739;0,500;2;2;523;524;;;;;;
738;0,500;2;2;521;522;;;;;;
737;0,500;2;2;519;520;;;;;;
736;0,500;2;2;516;517;;;;;;
735;0,500;2;2;514;515;;;;;;
734;0,500;2;2;511;512;;;;;;
733;0,500;2;2;509;510;;;;;;
732;0,500;2;2;506;507;;;;;;
731;0,500;2;2;504;505;;;;;;
730;0,500;2;2;501;502;;;;;;
729;0,500;2;2;499;500;;;;;;
728;0,500;2;2;495;496;;;;;;
727;0,500;2;2;492;493;;;;;;
726;0,500;2;2;490;491;;;;;;
725;0,500;2;2;487;488;;;;;;
724;0,500;2;2;485;486;;;;;;
723;0,500;2;2;482;483;;;;;;
722;0,500;2;2;480;481;;;;;;
721;0,500;2;2;477;478;;;;;;
720;0,500;2;2;475;476;;;;;;
719;0,500;2;2;472;473;;;;;;
718;0,500;2;2;470;471;;;;;;
717;0,500;2;2;467;468;;;;;;
716;0,500;2;2;465;466;;;;;;
715;0,500;2;2;462;463;;;;;;
714;0,500;2;2;460;461;;;;;;
713;0,500;2;2;457;458;;;;;;
712;0,500;2;2;455;456;;;;;;
711;0,500;2;2;452;453;;;;;;
710;0,500;2;2;450;451;;;;;;
709;0,500;2;2;447;448;;;;;;
708;0,500;2;2;445;446;;;;;;
707;0,500;2;2;443;444;;;;;;
706;0,500;2;2;441;442;;;;;;
705;0,500;2;2;438;439;;;;;;
704;0,500;2;2;436;437;;;;;;
703;0,500;2;2;433;434;;;;;;
702;0,500;2;2;431;432;;;;;;
701;0,500;2;2;428;429;;;;;;
700;0,500;2;2;426;427;;;;;;
699;0,500;2;2;423;424;;;;;;
698;0,500;2;2;421;422;;;;;;
697;0,500;2;2;418;419;;;;;;
696;0,500;2;2;416;417;;;;;;
695;0,500;2;2;413;414;;;;;;
694;0,500;2;2;411;412;;;;;;
693;0,500;2;2;408;409;;;;;;
692;0,500;2;2;406;407;;;;;;
691;0,500;2;2;403;404;;;;;;
690;0,500;2;2;401;402;;;;;;
689;0,500;2;2;398;399;;;;;;
688;0,500;2;2;394;395;;;;;;
687;0,500;2;2;392;393;;;;;;
686;0,500;2;2;390;391;;;;;;
685;0,500;2;2;388;389;;;;;;
684;0,500;2;2;385;386;;;;;;
683;0,500;2;2;383;384;;;;;;
682;0,500;2;2;380;381;;;;;;
681;0,500;2;2;378;379;;;;;;
680;0,500;2;2;376;377;;;;;;
679;0,500;2;2;374;375;;;;;;
678;0,500;2;2;371;372;;;;;;
677;0,500;2;2;369;370;;;;;;
676;0,500;2;2;366;367;;;;;;
675;0,500;2;2;364;365;;;;;;
674;0,500;2;2;361;362;;;;;;
673;0,500;2;2;359;360;;;;;;
672;0,500;2;2;356;357;;;;;;
671;0,500;2;2;354;355;;;;;;
670;0,500;2;2;351;352;;;;;;
669;0,500;2;2;349;350;;;;;;
668;0,500;2;2;346;347;;;;;;
667;0,500;2;2;344;345;;;;;;
666;0,500;2;2;341;342;;;;;;
665;0,500;2;2;339;340;;;;;;
664;0,500;2;2;337;338;;;;;;
663;0,500;2;2;335;336;;;;;;
662;0,500;2;2;332;333;;;;;;
661;0,500;2;2;330;331;;;;;;
660;0,500;2;2;327;328;;;;;;
659;0,500;2;2;325;326;;;;;;
658;0,500;2;2;322;323;;;;;;
657;0,500;2;2;320;321;;;;;;
656;0,500;2;2;317;318;;;;;;
655;0,500;2;2;315;316;;;;;;
654;0,500;2;2;312;313;;;;;;
